檢體名稱,餐廳名稱,抽驗地點,檢驗結果,不符合規定原因,來源年份,來源縣市,經度,緯度
凱薩脆鷄沙拉,新北市淡水區店家,新北市淡水區中正東路37號,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.446283003989,25.168284003236
義式烤鷄沙拉,新北市淡水區店家,新北市淡水區中正東路37號,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.446283003989,25.168284003236
沙拉,新北市永和區店家,新北市永和區中和路413號,合格,大腸桿菌陰性大腸桿菌群240沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.509133028569,25.00062397914
四季沙拉,四季,新北市板橋區中山路2段257號,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.477453038784,25.017699005556
鄉村雞肉沙拉,新北市新莊區店家,新北市新莊區中正路1號3樓,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.464036964562,25.040940011405
鮮蔬沙拉,新北市樹林區店家,新北市樹林區中山路1段67號1樓,合格,大腸桿菌陰性大腸桿菌群3.6沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.423808020271,24.991828009948
水耕蔬菜沙拉,新北市板橋區店家,新北市板橋區三民路2段35巷27號1樓,合格,大腸桿菌陰性大腸桿菌群43沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.481168987919,25.017962113497
水牛城辣雞沙拉,新北市板橋區店家,新北市板橋區文化路1段318號1樓,合格,大腸桿菌陰性大腸桿菌群23沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.467826003892,25.022068994596
四季沙拉,四季,新北市三峽區文化路72號1-2樓,合格,大腸桿菌陰性大腸桿菌群43沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.372193014888,24.936229002167
一日野菜萵苣沙拉,雲林縣褒忠鄉店家,雲林縣褒忠鄉新湖村復興路17-2號,合格,大腸桿菌陰性大腸桿菌群23沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,120.285510029777,23.707819014652
凱撒脆雞沙拉,新北市新店區店家,新北市新店區中正路506號1.2樓,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.533980007066,24.982920980539
義式烤雞沙拉,新北市新店區店家,新北市新店區中正路506號1.2樓,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.533980007066,24.982920980539
四季沙拉,四季,新北市三重區龍門路42號1、2樓,合格,大腸桿菌陰性大腸桿菌群15沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.495987019267,25.0724910037
酪梨脆雞沙拉,新北市三重區店家,新北市三重區龍門路42號1、2樓,合格,大腸桿菌陰性大腸桿菌群43沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.495987019267,25.0724910037
四季沙拉,四季,新北市三重區正義北路15號1樓,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.496635024201,25.067000982848
酪梨沙拉,新北市三重區店家,新北市三重區正義北路15號1樓,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.496635024201,25.067000982848
泰式青木瓜海鮮沙拉,泰式,新北市汐止區大同路1段158號,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.633169102312,25.056171605855
雞肉地瓜總匯沙拉,雞肉,新北市樹林區中山路1段102號1樓,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.423060019232,24.991130006961
蔬果沙拉,新北市新莊區店家,新北市新莊區化成路472號,合格,大腸桿菌陰性大腸桿菌群240沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.466128165585,25.051358717052
生菜沙拉,雲林縣斗六市店家,雲林縣斗六市斗六工業區民有街38號,合格,大腸桿菌陰性大腸桿菌群23沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,120.597026981691,23.721125579309
蛋餅,新北市五股區店家,新北市五股區五權路73號,合格,大腸桿菌陰性大腸桿菌群陰性,109,新北市,121.455043014817,25.069862019769
燒仙草,新北市樹林區店家,新北市樹林區博愛街74號,合格,大腸桿菌群陰性大腸桿菌陰性,109,新北市,121.42708299748,24.992244003803
蘿蔔湯,蘿蔔,新北市樹林區博愛街21號,合格,大腸桿菌陰性大腸桿菌群陰性,109,新北市,121.4274829819,24.992317010179
關東煮,關東,新北市新莊區龍安路297號,合格,大腸桿菌陰性大腸桿菌群陰性,109,新北市,121.421148023299,25.019792302055
甜甜圈,新北市新店區店家,新北市新店區民族路188號,合格,大腸桿菌陰性大腸桿菌群陰性,109,新北市,121.536792973772,24.976204980619
雙胞胎,新北市新店區店家,新北市新店區民族路188號,合格,大腸桿菌陰性大腸桿菌群陰性,109,新北市,121.536792973772,24.976204980619
肉焿,新北市汐止區店家,新北市汐止區大同路1段286號,合格,大腸桿菌陰性大腸桿菌群陰性,109,新北市,121.63488299297,25.05768623869
炒麵,新北市中和區店家,新北市中和區立德街138號,合格,大腸桿菌陰性大腸桿菌群陰性,109,新北市,121.48646341706,25.008706480734
鮮肉蒸餃,新北市中和區店家,新北市中和區立德街98號,合格,大腸桿菌陰性大腸桿菌群陰性,109,新北市,121.485712459229,25.008743360117
饅頭,新北市淡水區店家,新北市淡水區英專路49號,合格,大腸桿菌陰性大腸桿菌群陰性,109,新北市,121.445568027648,25.170815002718
鮭魚切片,鮭魚,臺北市萬華區桂林路242巷67號,合格,鉛未檢出鎘未檢出甲基汞未檢出無機砷未檢出,109,新北市,121.494145766596,25.036959738953
有機秋葵,桃園市大溪區店家,桃園市大溪區康莊路5段246號,合格,鉛未檢出鎘0.048 mg/kg,109,新北市,121.258004524931,24.822310861387
娃娃菜,雲林縣西螺鎮店家,雲林縣西螺鎮新安里振安路98號,合格,鉛未檢出鎘0.016 mg/kg,109,新北市,120.458685262342,23.78791178753
冷藏白鮮蛋,台南市東山區店家,台南市東山區許秀才段2331地號,合格,鉛未檢出銅0.7 mg/kg,109,新北市,120.388473,23.314813
鮭魚生魚片,鮭魚,臺北市中山區民族東路410巷6號,合格,鉛未檢出鎘未檢出甲基汞0.05 mg/kg無機砷未檢出,109,新北市,121.53824312684,25.066723080849
香草園歐嗨優重量級白鮮蛋,香草,台南市永康區永大一路101巷8號,合格,鉛未檢出銅0.7 mg/kg,109,新北市,120.258909746444,23.017386537571
冷凍去筋旗魚,臺北市信義區店家,臺北市信義區忠孝東路4段559巷16弄21號1樓,合格,鉛未檢出鎘未檢出甲基汞0.05 mg/kg無機砷未檢出,109,新北市,121.564388462139,25.042523143367
頂好牌竹炭水,臺北市士林區店家,臺北市士林區華齡街175號2樓,合格,溴酸鹽,108,新北市,121.519387951828,25.087059170514
悅氏礦泉水,宜蘭縣頭城鎮店家,宜蘭縣頭城鎮吉祥路236巷1號,合格,溴酸鹽,108,新北市,121.814428931947,24.861364399484
PH9.0鹼性離子水,新北市瑞芳區店家,新北市瑞芳區濱二路27-3號,合格,溴酸鹽,108,新北市,121.838146281353,25.113687219617
RT竹炭水(包裝飲用水),高雄市仁武區店家,高雄市仁武區竹後里竹工三巷33-7號,合格,溴酸鹽,108,新北市,120.331305982699,22.713706983586
味丹多喝水(包裝飲用水),味丹多喝,台中市沙鹿區錦華街17號2樓,合格,溴酸鹽,108,新北市,120.566266989599,24.252155020019
地中海竹炭水(包裝飲用水),高雄市仁武區店家,高雄市仁武區竹後裡竹工三巷33-7號,合格,溴酸鹽,108,新北市,120.331305982699,22.713706983586
詩沛格蘭礦泉水,臺北市北投區店家,臺北市北投區中央北路4段515巷28號3樓,合格,溴酸鹽,108,新北市,121.468867455362,25.126841191727
FONTE ALLEGRA亞莉佳氣泡礦泉水,臺北市內湖區店家,臺北市內湖區南京東路6段461號8樓之3,合格,溴酸鹽,108,新北市,121.587525616208,25.061015004786
OURHOME天然岩層水,臺北市信義區店家,臺北市信義區東興路63號4樓,合格,溴酸鹽,108,新北市,121.566986852124,25.047317759622
Fontauroi法國山泉水,臺北市士林區店家,臺北市士林區華齡街175號2樓,合格,溴酸鹽,108,新北市,121.519387951828,25.087059170514
進口豬頰肉,高雄市大寮區店家,高雄市大寮區大有四街8號,合格,安保寧(1項)未檢出氯黴素類抗生素(4項)未檢出乙型受體素類(β-agonist)(20項)未檢出,107,新北市,120.426522977849,22.585362988797
國產五花底(豬肉),臺北市中正區店家,臺北市中正區仁愛路1段22號5、6樓,合格,安保寧(1項)未檢出乙型受體素類(β-agonist)(20項)未檢出氯黴素類抗生素(4項)未檢出,107,新北市,121.522309206808,25.038514643161
去骨鴨腿肉,台中市大里區店家,台中市大里區中興路二段671巷110號,合格,乙型受體素類(β-agonist)(20項)未檢出抗原蟲(7項)未檢出動物用藥多重殘留(48項)未檢出,107,新北市,120.687015094183,24.115659205297
全家袋裝咖啡冰塊,新北市三重區店家,新北市三重區中興北街108號,合格,生菌數<10大腸桿菌陰性大腸桿菌群陰性,107,新北市,121.468879022388,25.054777988724
Hi-Lifeoriginal衛生冰塊,新北市泰山區店家,新北市泰山區泰林路2段292巷26號1樓,合格,大腸桿菌陰性大腸桿菌群陰性生菌數10,107,新北市,121.431632778343,25.063464113075
Simple Style冰塊,新北市樹林區店家,新北市樹林區俊英街116巷9號,合格,大腸桿菌陰性大腸桿菌群陰性生菌數30,107,新北市,121.427798728192,25.005881779364
鮮饗雞烏骨雞雞丁,屏東縣里港鄉店家,屏東縣里港鄉新民路11-6號,合格,四環黴素類(7項)檢出細項氯黴素類抗生素(4項)未檢出脫氧羥四環黴素(Doxycycline)0.014乙型受體素類(β-agonist)(20項)未檢出動物用藥多重殘留(48項),107,新北市,120.530758984634,22.772457000228
烏骨雞,臺北市萬華區店家,臺北市萬華區西藏路530號,合格,脫氧羥四環黴素(Doxycycline)0.008氯黴素類抗生素(4項)檢出細項氟甲磺氯黴素胺0.006乙型受體素類(β-agonist)(20項)未檢出三甲氧芐氨嘧啶(trimethoprim)0.020四環黴素類(7項)檢出細項動物用藥多重殘留(48項),107,新北市,121.492751856098,25.028667773599
虱目魚丸,新北市新莊區店家,新北市新莊區新北大道三段5號22F-3,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,121.458552014762,25.060258999029
桂冠貢丸,桂冠,新北市中和區中山路2段329號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,121.49291362683,25.002205686179
義美花枝魚丸,義美,桃園市蘆竹區南工路1段11號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,121.278934367597,25.060315283509
珍珍冷凍花枝丸,高雄市前鎮店家,高雄市前鎮區漁港南一路31號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,120.316382004095,22.567084991637
虱目魚丸,台南市北門區店家,台南市北門區文山里100-7號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,120.1251182,23.2675189
原味貢丸,雲林縣元長鄉店家,雲林縣元長鄉興工路3號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,120.3151201,23.6499292
義美香菇貢丸,義美,桃園市蘆竹區南工路1段11號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,121.278934367597,25.060315283509
貢丸,台南市東區店家,台南市東區生產路68號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,120.221047997578,22.963620006556
花枝丸,花枝,高雄市前鎮區南一路31號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,120.290199025031,22.597726189859
鱈魚脆丸,鱈魚,高雄市前鎮區南一路31號,合格,己二烯酸0.69苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,120.290199025031,22.597726189859
桂冠魚餃,桂冠,新北市中和區中山路2段329號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,121.49291362683,25.002205686179
珍珍冷凍海鮮福州丸,高雄市前鎮店家,高雄市前鎮區漁港南一路31號,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,120.316382004095,22.567084991637
美威鮭魚干貝海鮮丸,臺北市大安區店家,臺北市大安區敦化南路1段205號11號1105室,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,121.549182520479,25.042048127169
貢丸,新北市新莊區店家,新北市新莊區新北大道3段5號22樓之3,合格,己二烯酸未檢出苯甲酸未檢出去水醋酸未檢出硼酸及其鹽類未檢出過氧化氫未檢出二氧化硫未檢出水楊酸未檢出對羥苯甲酸未檢出,109,新北市,121.458552014762,25.060258999029
